Log10 PageRank	Title
-4.729	Paul the Apostle
-4.729	Gene ontology
-4.729	Moscow Time
-4.729	Turin
-4.729	Lyndon B. Johnson
-4.729	ChEMBL
-4.729	Winnipeg
-4.729	University of St Andrews
-4.730	National Register of Historic Places listings in Florida
-4.730	National Register of Historic Places listings in Virginia
-4.730	Suburb
-4.730	Habitat destruction
-4.730	Humidity
-4.731	Saint Barthélemy
-4.731	Mughal Empire
-4.731	United States Department of Health and Human Services
-4.731	Geotagging
-4.731	History of the United States
-4.731	Crime
-4.731	Privy Council of the United Kingdom
-4.731	Enzyme Commission number
-4.732	HIV/AIDS
-4.732	Algae
-4.732	National Library of the Netherlands
-4.732	National Register of Historic Places listings in Michigan
-4.732	International Association of Athletics Federations
-4.733	Surrey
-4.733	Stuttgart
-4.733	Calgary
-4.734	Afrikaans
-4.734	Optical fiber
-4.734	Nomenclature code
-4.734	Niue
-4.734	International Plant Names Index
-4.734	Left-wing politics
-4.734	League of Nations
-4.734	National Register of Historic Places listings in Alabama
-4.734	Phonology
-4.735	Hewlett-Packard
-4.735	Hispanic and Latino Americans
-4.735	Global warming
-4.735	List of ruling political parties by country
-4.736	Cambridge, Massachusetts
-4.736	HBO
-4.736	Listed building
-4.736	Email
-4.736	Equal-loudness contour
-4.736	Slovene language
-4.736	Hamlet (place)
-4.736	Celts
-4.737	Gospel of Matthew
-4.737	Musical ensemble
-4.737	Palau
-4.738	Official language
-4.738	Comet
-4.738	Nasal consonant
-4.738	Spanish naming customs
-4.738	University of Toronto
-4.738	Indianapolis
-4.738	Theodore Roosevelt
-4.738	Zürich
-4.739	Textile
-4.739	Arab
-4.739	Velar consonant
-4.739	Horse racing
-4.739	Television network
-4.739	National Register of Historic Places listings in Pennsylvania
-4.739	Aircraft
-4.739	Comedy film
-4.740	Wired (magazine)
-4.740	Vikings
-4.740	British Virgin Islands
-4.740	Cultivar
-4.740	Gregorian calendar
-4.740	National Register of Historic Places listings in Wisconsin
-4.741	University of London
-4.741	Stadium
-4.741	Equatorial Guinea
-4.741	Australian Football League
-4.741	Human body
-4.741	Simple Features
-4.741	Lyon
-4.741	Melilla
-4.741	Guinea-Bissau
-4.742	Hectare
-4.742	Transport
-4.742	Publisher
-4.742	Buffalo, New York
-4.743	Universal Music Group
-4.743	QR code
-4.743	Thirteen Colonies
-4.743	West Africa
-4.743	Crustacean
-4.744	Jakarta
-4.744	East India Company
-4.744	Edmonton
-4.744	City of license
-4.744	Ohio State University
-4.744	UTC+10:00
-4.744	National Register of Historic Places listings in Missouri
-4.744	Bangalore
-4.744	Comoros
-4.744	Second
-4.745	Anarchism
-4.745	United States Department of Energy
-4.745	Renewable energy
-4.745	Counties of Romania
-4.745	Hypertext Transfer Protocol
-4.745	Federated States of Micronesia
-4.745	Ethanol
-4.745	Lancashire
-4.745	National Register of Historic Places listings in Kansas
-4.746	Sulfur
-4.746	Star
-4.746	Alcohol
-4.746	Singer-songwriter
-4.746	Milwaukee
-4.746	United States Supreme Court
-4.747	Yiddish language
-4.747	Infrared
-4.747	Private university
-4.747	Palestine
-4.747	Persian Gulf
-4.747	Gini coefficient
-4.747	Punjabi language
-4.747	Minor-planet moon
-4.747	Spanish Civil War
-4.747	Anglican
-4.747	Electricity
-4.747	National Register of Historic Places listings in Iowa
-4.748	Medieval
-4.748	Chemical compound
-4.748	Head of government
-4.748	University of Edinburgh
-4.748	Middle English
-4.748	New International Encyclopedia
-4.749	Tertiary sector of the economy
-4.749	Kingdom of the Netherlands
-4.749	Immanuel Kant
-4.749	Temperate climate
-4.749	Sea snail
-4.750	Austronesian languages
-4.750	Rapid transit
-4.750	Music recording sales certification
-4.750	Latin script
-4.750	Integer
-4.750	Tropics
-4.750	Postal code
-4.750	Ethics
-4.751	Red Army
-4.751	Order of the Bath
-4.751	Geometer moth
-4.751	Position (ice hockey)
-4.751	Federal Reserve System
-4.751	Australian Broadcasting Corporation
-4.751	Order of Saint Benedict
-4.751	Elsevier
-4.751	Christian denomination
-4.752	Jimmy Carter
-4.752	Ohio River
-4.752	Baptism
-4.752	National Science Foundation
-4.752	Indigenous languages of the Americas
-4.752	Reggae
-4.752	Dog
-4.752	Climate
-4.753	Administrative divisions of Mexico
-4.753	National Register of Historic Places listings in Maryland
-4.753	Simple Knowledge Organization System
-4.753	Formula One
-4.753	District
-4.753	National Register of Historic Places listings in South Carolina
-4.753	ICD-10
-4.753	National Register of Historic Places listings in Illinois
-4.753	National Register of Historic Places listings in Mississippi
-4.753	Bachelor of Science
-4.753	United States district court
-4.754	Predation
-4.754	Western United States
-4.754	University of Minnesota
-4.754	Metadata
-4.754	Software engineering
-4.754	National Library of Spain
-4.754	Bologna
-4.755	Horse
-4.755	Augustus
-4.755	Redox
-4.755	Standard time
-4.755	Character (arts)
-4.755	Montserrat
-4.755	African-American Civil Rights Movement (1955–68)
-4.755	Abkhazia
-4.755	Short story
-4.756	Propaganda
-4.756	Time in China
-4.756	National Register of Historic Places listings in Texas
-4.756	Globalization
-4.756	Akrotiri and Dhekelia
-4.756	National Register of Historic Places listings in Nebraska
-4.756	National Register of Historic Places listings in Georgia
-4.756	Referendum
-4.757	ARIA Charts
-4.757	Local government
-4.757	UEFA Champions League
-4.757	Louis XIV of France
-4.757	San Antonio
-4.757	Judo
-4.757	Java
-4.757	UTC−01:00
-4.757	Headquarters
-4.757	National Register of Historic Places listings in Nevada
-4.757	Crete
-4.757	National Register of Historic Places listings in Louisiana
-4.757	Nagorno-Karabakh Republic
-4.758	North Rhine-Westphalia
-4.758	Spanish Empire
-4.758	Kelvin
-4.758	Federal district
-4.759	National Register of Historic Places listings in Oregon
-4.759	Disc jockey
-4.759	National Register of Historic Places listings in Washington state
-4.759	National Register of Historic Places listings in North Dakota
-4.759	Geocoding
-4.759	International relations
-4.759	School district
-4.759	Dictionary
-4.759	Slavic languages
-4.759	Colonel
-4.759	List of regencies and cities of Indonesia
-4.760	Pharmacology
-4.760	Calendar of saints
-4.760	Charlemagne
-4.760	Zagreb
-4.760	Gothenburg
-4.761	Baden-Württemberg
-4.761	Public transport
-4.761	National Register of Historic Places listings in Delaware
-4.761	Phoneme
-4.761	Call sign
-4.761	Ceremonial counties of England
-4.761	Oak
-4.761	Electric guitar
-4.761	Charles II of England
-4.761	National Register of Historic Places listings in Arkansas
-4.761	Library of Congress Subject Headings
-4.761	English Civil War
-4.761	Marshall Islands
-4.761	Modernism
-4.761	A440 (pitch standard)
-4.762	MacTutor History of Mathematics archive
-4.762	Italians
-4.762	Passerine
-4.762	Wade–Giles
-4.762	National Register of Historic Places listings in Colorado
-4.762	National Register of Historic Places listings in Minnesota
-4.762	Wine
-4.762	Sufism
-4.762	National Register of Historic Places listings in North Carolina
-4.763	War on Terror
-4.763	National Register of Historic Places listings in Kentucky
-4.763	Election
-4.763	National Register of Historic Places listings in Montana
-4.763	Antisemitism
-4.763	Race (human classification)
-4.763	List of countries by GDP (PPP) per capita
-4.763	University of Southern California
-4.763	Archbishop
-4.764	Granite
-4.764	Archaea
-4.764	Council of Europe
-4.764	UTC+5
-4.764	Gothic architecture
-4.764	Institute of Electrical and Electronics Engineers
-4.764	Digestion
-4.764	Julius Caesar
-4.765	National Register of Historic Places listings in Indiana
-4.765	Mosque
-4.765	UTC+12:00
-4.765	Journalism
-4.765	CNET
-4.765	City of London
-4.765	UTC−09:00
-4.765	Old Testament
-4.765	Romani people
-4.765	Cape Town
-4.765	Tram
-4.766	National Register of Historic Places listings in Massachusetts
-4.766	Innings
-4.766	National Register of Historic Places listings in West Virginia
-4.766	British House of Commons
-4.766	Semantics
-4.766	National Register of Historic Places listings in Ohio
-4.766	Solubility
-4.766	Saxony
-4.766	Life
-4.766	Hard disk drive
-4.766	West Bengal
-4.766	Striker
-4.766	War
-4.766	National Register of Historic Places listings in Washington, D.C.
-4.766	Apartheid
-4.767	Arctic
-4.767	Himalayas
-4.767	Muscle
-4.767	Calcium
-4.767	Ann Arbor, Michigan
-4.767	Iberian Peninsula
-4.768	Iron Age
-4.768	Fox News Channel
-4.768	Classical antiquity
-4.768	Municipiu
-4.769	Coup d'état
-4.769	Amtrak
-4.769	IEC 80000-13
-4.769	Complex number
-4.769	List of cities and towns in Romania
-4.769	Molecular formula
-4.769	Preferred number
-4.769	National Register of Historic Places architectural style categories
-4.770	Germanic peoples
-4.770	Kansas City, Missouri
-4.770	UTC+11:00
-4.770	National Register of Historic Places listings in New Mexico
-4.770	List of countries by Human Development Index
-4.770	Curaçao
-4.770	Library and Archives Canada
-4.771	900 (number)
-4.771	Perl
-4.771	American Legation, Tangier
-4.771	Planet
-4.771	Open-source software
-4.771	Essex
-4.771	Rovi Corporation
-4.771	400 (number)
-4.772	Wolfgang Amadeus Mozart
-4.772	Integrated Taxonomic Information System
-4.772	Civil law (legal system)
-4.772	MSNBC
-4.772	Social democracy
-4.772	Statute
-4.772	Organic compound
-4.772	Upper house
-4.772	Earnings before interest and taxes
-4.773	Photosynthesis
-4.773	Author citation (botany)
-4.773	Apostle (Christian)
-4.773	Guangzhou
-4.773	The Observer
-4.773	Song Dynasty
-4.773	Provinces of China
-4.773	National Register of Historic Places listings in Hawaii
-4.773	Pascal (unit)
-4.773	Nervous system
-4.773	Voter turnout
-4.773	Telegraphy
-4.773	FA Cup
-4.773	Defender (football)
-4.774	Irish grid reference system
-4.774	UTC−02:00
-4.774	Radar
-4.774	Johannesburg
-4.774	National Register of Historic Places listings in Oklahoma
-4.774	National Register of Historic Places listings in New Jersey
-4.774	Body of water
-4.774	Provinces of Argentina
-4.774	Trinity
-4.774	Charitable organization
-4.775	Parasitism
-4.775	Connectors for car audio
-4.775	The Sunday Times
-4.775	600 (number)
-4.775	Wheat
-4.775	National Register of Historic Places listings in Utah
-4.775	Rhetoric
-4.775	Judge
-4.775	Premier League
-4.775	National Register of Historic Places listings in Maine
-4.775	National Register of Historic Places listings in Connecticut
-4.775	Sony Music Entertainment
-4.775	Gravitational field
-4.775	Municipal corporation
-4.775	Liberal Party (UK)
-4.775	Humanities
-4.775	Computer programming
-4.776	UTC−10:00
-4.776	East Coast of the United States
-4.776	Devon
-4.776	Pop rock
-4.776	National Register of Historic Places listings in Wyoming
-4.776	Reconstruction Era
-4.776	Macintosh
-4.776	500 (number)
-4.776	University of Virginia
-4.776	National Register of Historic Places listings in New Hampshire
-4.776	Great-circle distance
-4.776	Animation
-4.776	National Register of Historic Places listings in South Dakota
-4.776	NME
-4.776	Popular music
-4.777	International Olympic Committee
-4.777	Synonym
-4.777	Universal Transverse Mercator
-4.777	UEFA Europa League
-4.777	90th meridian west
-4.777	National Register of Historic Places listings in the United States Virgin Islands
-4.777	National Register of Historic Places listings in Idaho
-4.777	Monophyly
-4.777	National Register of Historic Places listings in the Northern Mariana Islands
-4.777	Lower house
-4.777	Western Asia
-4.778	Gottfried Wilhelm Leibniz
-4.778	Semantic Web
-4.778	Antipodes
-4.778	National Register of Historic Places listings in Arizona
-4.778	90th meridian east
-4.778	National Register of Historic Places listings in Alaska
-4.778	Lieutenant
-4.778	1840 United States Census
-4.778	National Register of Historic Places listings in Puerto Rico
-4.778	Stock
-4.779	Nauru
-4.779	Winter Olympic Games
-4.779	Gautama Buddha
-4.779	MP3
-4.779	National Register of Historic Places listings in Vermont
-4.779	National Register of Historic Places listings in American Samoa
-4.779	Geospatial metadata
-4.779	Map
-4.779	National Register of Historic Places listings in Rhode Island
-4.779	National Register of Historic Places listings in Guam
-4.779	Anguilla
-4.780	Suicide
-4.780	Rabbi
-4.780	Myocardial infarction
-4.780	Government of India
-4.780	Tang Dynasty
-4.780	Wall Street Journal
-4.780	Diesel engine
-4.780	Salt
-4.781	Masovian Voivodeship
-4.781	Düsseldorf
-4.781	U.S. News & World Report
-4.781	800 (number)
-4.781	National Register of Historic Places listings in the Federated States of Micronesia
-4.781	Pitcairn Islands
-4.781	Entrepreneurship
-4.781	NASDAQ
-4.781	Tibet
-4.781	Pacific Time Zone
-4.781	Water polo
-4.781	Polish–Lithuanian Commonwealth
-4.782	Ptolemy
-4.782	Natural environment
-4.782	Sasanian Empire
-4.782	World Wide Web Consortium
-4.782	Civil engineering
-4.782	Random House
-4.782	National Register of Historic Places listings in the Marshall Islands
-4.782	Fly
-4.783	Prontor-Compur
-4.783	Provinces of Italy
-4.783	Live album
-4.783	Middle school
-4.783	Poles
-4.783	Food
-4.783	Hybrid (biology)
-4.783	Kiribati
-4.783	Bloomberg Businessweek
-4.783	National Register of Historic Places listings in Palau
-4.783	Paramount Pictures
-4.784	Gujarat
-4.784	Kannada language
-4.784	Cantons of Switzerland
-4.784	National Register of Historic Places listings in the United States Minor Outlying Islands
-4.784	International Meridian Conference
-4.784	Automotive navigation system
-4.784	700 (number)
-4.785	Genoa
-4.785	Zoroastrianism
-4.785	Syntax
-4.785	Audio engineer
-4.785	UTC+05:45
-4.785	District of Columbia
-4.785	Asphalt
-4.785	Nintendo
-4.785	List of botanists by author abbreviation
-4.785	Marseille
-4.785	Phi
-4.785	Developing country
-4.786	JavaScript
-4.786	Jurisdiction
-4.786	Wrocław
-4.786	Internet Broadway Database
-4.786	Chess
-4.786	Sound recording and reproduction
-4.786	ISO/IEC 6523
-4.786	Newlyn
-4.786	Fishing
-4.786	Digital rights management
-4.786	Epidemiology
-4.787	Shock resistant watch
-4.787	Dubai
-4.787	Government-owned corporation
-4.787	British Overseas Territories
-4.787	Selenographic coordinates
-4.788	Taipei
-4.788	Devanagari
-4.788	UTC
-4.788	Open access (publishing)
-4.788	British people
-4.788	Artillery
-4.788	IEC 80000-6
-4.788	Clinical trial
-4.788	Japanese people
-4.788	Earthquake
-4.788	Pliny the Elder
-4.788	Riga
-4.789	Kingdom of Prussia
-4.789	X-ray
-4.789	Video game console
-4.789	Doctoral advisor
-4.790	Collocation
-4.790	Public health
-4.790	England national football team
-4.790	Urdu language
-4.790	Word-sense disambiguation
-4.790	Gothic Revival architecture
-4.790	Equity (finance)
-4.791	Rugby union positions
-4.791	Trondheim
-4.791	Progressive rock
-4.791	Prison
-4.791	Nasal stop
-4.791	James VI and I
-4.791	Dam
-4.791	Transliteration
-4.792	Bollywood
-4.792	Kingdom of England
-4.792	Kilogram
-4.792	Accountancy
-4.792	Rajasthan
-4.792	Infantry
-4.792	Anatomical terms of location
-4.792	Polymer
-4.792	Woodrow Wilson
-4.793	Tabloid (newspaper format)
-4.793	Funk
-4.793	Charles I of England
-4.793	Knight
-4.793	Bus
-4.794	Forestry
-4.794	Caspian Sea
-4.794	Homosexuality
-4.794	Home run
-4.794	Financial crisis of 2007–08
-4.794	Protectorate
-4.794	Sodium
-4.794	AOL
-4.794	Satire
-4.794	Rimouski
-4.795	Boiling point
-4.795	The CW
-4.795	Lambda
-4.796	Vulnerable species
-4.796	Data compression
-4.796	1996 Summer Olympics
-4.796	Anno Domini
-4.796	Materials science
-4.797	Abbasid Caliphate
-4.797	List of Star Wars characters
-4.797	Islamic calendar
-4.797	Media Control Charts
-4.797	Transnistria
-4.797	Thesis
-4.797	Simon & Schuster
-4.798	Aruba
-4.798	Oakland, California
-4.798	Manuscript
-4.798	African Union
-4.798	EMedicine
-4.798	Sub-Saharan Africa
-4.798	Yorkshire
-4.798	E-learning
-4.798	Cabinet of the United States
-4.798	Turner Classic Movies
-4.799	Politics of the United States
-4.799	Compiler
-4.800	Albanian language
-4.800	Great Recession
-4.800	Sitcom
-4.800	Cicero
-4.800	Bibliographic control
-4.800	Commander-in-chief
-4.800	Northeastern United States
-4.800	Homer
-4.800	Municipalities of Sweden
-4.800	List of minor planets
-4.800	Pope Benedict XVI
-4.800	Marvel Comics
-4.800	San Jose, California
-4.800	GameSpot
-4.800	Letter case
-4.800	Persia
-4.801	Lists of time zones
-4.801	UTC−03:30
-4.801	Frazione
-4.801	Lambert conformal conic projection
-4.801	300 (number)
-4.801	Unitary state
-4.801	Newcastle upon Tyne
-4.801	Tel Aviv
-4.801	Metaphysics
-4.801	Nutrition
-4.801	Paper
-4.802	Karachi
-4.802	University of Washington
-4.802	Bicameralism
-4.802	Mandarin Chinese
-4.803	Rotterdam
-4.803	Slavs
-4.803	List of minor planets: 20001–21000
-4.803	Encyclopedia Americana
-4.803	Seed
-4.803	Dominican Order
-4.803	Brian O'Nolan
-4.803	Flanders
-4.803	Public relations
-4.804	Blood
-4.804	Bone
-4.804	National Academy of Sciences
-4.804	Earth ellipsoid
-4.804	Somaliland
-4.804	Saint
-4.804	Bohemia
-4.805	Precipitation (meteorology)
-4.805	General Motors
-4.805	ORCID
-4.805	USB
-4.805	Chinese surname
-4.805	Leeds
-4.805	Etymology
-4.805	Surgery
-4.805	Austrian Empire
-4.805	Immigration
-4.805	New Guinea
-4.805	National Security Agency
-4.805	UTC+4
-4.806	Gdańsk
-4.806	Northern Territory
-4.806	Eastern Catholic Churches
-4.806	Rapping
-4.806	Weapon
-4.806	United Nations Development Programme
-4.806	Kingdom of Italy
-4.806	European Economic Community
-4.806	Domain (biology)
-4.807	Encyclopedia of Mathematics
-4.807	List of countries in the Eurovision Song Contest
-4.807	Guinness World Records
-4.807	Harvard University Press
-4.807	Wellington
-4.807	Southern Ocean
-4.807	British Armed Forces
-4.807	Marathi language
-4.807	International Standard Archival Authority Record
-4.808	Northern Hemisphere
-4.808	United Nations General Assembly
-4.808	Overseas department
-4.808	OSGB36
-4.808	United States Census, 2010
-4.808	Beirut
-4.808	Kuala Lumpur
-4.808	Consonant
-4.808	BBC Radio 4
-4.808	Reality television
-4.808	Topographic prominence
-4.809	Thessaloniki
-4.809	English law
-4.809	Paralympic Games
-4.809	Unicameralism
-4.809	Clay
-4.809	Wicket
-4.809	Roman numerals
-4.809	Washington, DC
-4.809	List of UTC time offsets
-4.809	Southwestern United States
-4.809	River Thames
-4.809	Musical theatre
-4.809	Metro-Goldwyn-Mayer
-4.809	OpenStreetMap
-4.810	Minor planet designation
-4.810	Strasbourg
-4.810	GPS
-4.810	Quarter (urban subdivision)
-4.810	Athletic nickname
-4.810	NAD83
-4.810	Åland Islands
-4.811	Julian calendar
-4.811	Prime minister
-4.811	Memphis, Tennessee
-4.811	Poznań
-4.811	Damascus
-4.811	Tort
-4.811	Financial endowment
-4.811	Australasia
-4.811	Nomenclature
-4.811	Tallinn
-4.812	Macmillan Publishers
-4.812	Molecular biology
-4.812	North pole
-4.812	Population without double counting
-4.812	Regulation
-4.812	E-book
-4.812	Saint Pierre and Miquelon
-4.812	Initial public offering
-4.812	Glass
-4.813	Palatal consonant
-4.813	International Labour Organization
-4.813	Officer (armed forces)
-4.813	Podcast
-4.813	Concrete
-4.813	Russian Orthodox Church
-4.813	Subfamily
-4.813	Transportation in the United States
-4.813	English Heritage
-4.813	Cuneiform
-4.813	Coach (sport)
-4.813	Academic publishing
-4.814	Time in the Republic of Ireland
-4.814	Wavelength
-4.814	National park
-4.814	Orchestra
-4.814	Competition law
-4.814	Stump (cricket)
-4.814	Radioactive decay
-4.814	Terminologia Histologica
-4.814	Microwave
-4.814	Basidiomycota
-4.814	Metropolitan and non-metropolitan counties of England
-4.814	Grammatical gender
-4.814	Lahore
-4.814	Asian American
-4.814	Duke University
-4.814	Knowledge
-4.815	Johns Hopkins University
-4.815	Umayyad Caliphate
-4.815	CC0
-4.815	Georgian alphabet
-4.815	Major general
-4.815	United States government
-4.815	UTC+8
-4.815	Grammar
-4.815	Havana
-4.815	UTC−02:30
-4.815	Freedom of speech
-4.815	The Louvre
-4.815	1830 United States Census
-4.815	Professional wrestling
-4.815	Cooperative
-4.815	HIV
-4.816	Marine (ocean)
-4.816	Harry S. Truman
-4.816	Missionary
-4.816	Norfolk Island
-4.816	Talmud
-4.816	International law
-4.816	Cardiff
-4.816	Quakers
-4.816	Plastic
-4.816	Uniform title
-4.817	Clothing
-4.817	Proportional representation
-4.817	Thirty Years' War
-4.817	San Francisco Chronicle
-4.817	Union (American Civil War)
-4.817	List of time zones by country
-4.817	The Bronx
-4.817	Ludwig van Beethoven
-4.817	French Polynesia
-4.817	Music industry
-4.817	Penguin Books
-4.817	Phonetics
-4.817	Hyderabad
-4.818	Folklore
-4.818	Table of administrative divisions by country
-4.818	Library of Congress classification
-4.818	Oricon
-4.818	Chinese name
-4.818	Parliament of Norway
-4.818	Invertebrate
-4.818	Halakha
-4.819	Constantine the Great
-4.819	Federated state
-4.819	Rutgers University
-4.819	Buddhist
-4.819	Long Island
-4.819	Columbus, Ohio
-4.819	Electromagnetic radiation
-4.819	Wikimedia Foundation
-4.819	Shot (ice hockey)
-4.820	Malay language
-4.820	Record chart
-4.820	Fern
-4.820	N-vector
-4.820	Barangay
-4.820	Economy of the United States
-4.820	Fortran
-4.820	Knot (unit)
-4.820	Alveolar consonant
-4.820	Pitchfork Media
-4.821	Probability distribution
-4.821	UTC+13:00
-4.821	University of Florida
-4.821	Racism
-4.821	Social class
-4.821	Warner Music Group
-4.821	Bob Dylan
-4.822	Justice of the Peace
-4.822	Mechanical engineering
-4.822	Princess Diana
-4.822	Mayotte
-4.822	One Day International
-4.822	Φ
-4.822	Jainism
-4.822	UTC−04:30
-4.822	The Hindu
-4.823	Louisville, Kentucky
-4.823	Great Plains
-4.823	Electoral College (United States)
-4.823	Nile
-4.823	Charles V, Holy Roman Emperor
-4.823	British Indian Ocean Territory
-4.824	Morphology (linguistics)
-4.824	List of time zone abbreviations
-4.824	Colony
-4.824	Integrated circuit
-4.824	British India
-4.824	Guangdong
-4.824	KStars
-4.824	Bahá'í Faith
-4.824	Ph.D.
-4.824	Hampshire
-4.824	Industry
-4.825	Caenogastropoda
-4.825	Palestinian territories
-4.825	Pinophyta
-4.825	Academia
-4.825	Fiscal year
-4.825	Arabian Peninsula
-4.825	Universal Studios
-4.825	Dresden
-4.826	São Tomé and Príncipe
-4.826	Cartesian coordinate
-4.826	Sint Maarten
-4.826	United States Government Printing Office
-4.826	Invasive species
-4.826	Vladimir Lenin
-4.826	Chemical substance
-4.827	Oxford Dictionary of National Biography
-4.827	Low-pressure area
-4.827	Sound
-4.827	Manchester United F.C.
-4.827	Vocals
-4.827	Lacrosse
-4.827	Local area network
-4.827	South pole
-4.827	Helmert transformation
-4.827	The Globe and Mail
-4.828	Society
-4.828	Indigenous Australians
-4.828	Saint Peter
-4.828	Epistemology
-4.828	Chemical element
-4.828	1992 Summer Olympics
-4.828	Urban planning
-4.828	Approximant consonant
-4.828	Indian National Congress
-4.828	Adjective
-4.829	Knowledge Organization Systems
-4.829	Chromosome
-4.829	Divisions of the Australian House of Representatives
-4.829	Sheffield
-4.829	States and territories of Australia
-4.829	Sheep
-4.829	Thomson Reuters
-4.829	Pleistocene
-4.829	Soundtrack
-4.829	Great Lakes
-4.829	Guerrilla warfare
-4.829	Sponge
-4.829	Member states of the United Nations
-4.829	Topography
-4.829	Strikeout
-4.829	Master of Arts
-4.830	Immigration to the United States
-4.830	Bogotá
-4.830	International Space Station
-4.830	CD single
-4.830	Geostationary
-4.830	Confucianism
-4.830	Natural history
-4.830	Research Libraries Group
-4.830	United States Department of Homeland Security
-4.830	Fundamental plane (spherical coordinates)
-4.830	Magnetic field
-4.830	Johann Sebastian Bach
-4.830	Carbohydrate
-4.831	Edo period
-4.831	UTC−12:00
-4.831	Academic degree
-4.831	Legion of Honour
-4.831	Columbia River
-4.831	Mountain Time Zone
-4.831	Win–loss record (pitching)
-4.831	History of China
-4.831	Universal Polar Stereographic
-4.832	Contemporary R&B
-4.832	East Africa Time
-4.832	Literacy
-4.832	Unemployment
-4.832	Poverty
-4.832	Eel
-4.832	Roman law
-4.832	Sofia
-4.833	West Coast of the United States
-4.833	Indonesian language
-4.833	Modern French
-4.833	Slovak language
-4.833	Psychiatry
-4.833	Telephone
-4.833	Viscosity
-4.833	Library Journal
-4.833	Vilnius
-4.833	Helicopter
-4.833	Gas
-4.833	Airline codes
-4.834	Baltimore, Maryland
-4.834	Southern Hemisphere
-4.834	1972 Summer Olympics
-4.834	Terrorism
-4.834	Republic of Kosovo
-4.834	Magnesium
-4.834	American Library Association
-4.834	Mergers and acquisitions
-4.834	International Music Score Library Project
-4.834	Random-access memory
-4.834	Laser
-4.835	Port
-4.835	Taoism
-4.835	United States courts of appeals
-4.835	PlayStation 2
-4.835	Softball
-4.835	Organization
-4.835	Equestrianism
-4.835	Genome
-4.835	Λ
-4.835	Aves
-4.835	Family
-4.835	RLIN
-4.836	University of Chicago Press
-4.836	Ankara
-4.836	Jesuit
-4.836	RCA Records
-4.836	Metadata Authority Description Schema
-4.836	Biogeography
-4.836	Sacramento, California
-4.836	Government of Canada
-4.836	List of political parties by country
-4.836	Scientific method
-4.836	Marine biology
-4.836	Will (law)
-4.836	Quechuan languages
-4.836	Liberal Party of Canada
-4.836	Genitive case
-4.836	Nunavut
-4.837	Celsius
-4.837	Conservation biology
-4.837	PHP
-4.837	Research and development
-4.837	Hesse
-4.837	Weather system
-4.837	Fascism
-4.837	DC Comics
-4.837	Central bank
-4.837	Day
-4.837	Noam Chomsky
-4.837	Communications in the United States
-4.838	Martin Luther
-4.838	List of military time zones
-4.838	The Simpsons
-4.838	AIDS
-4.838	Perth, Western Australia
-4.838	University of North Carolina at Chapel Hill
-4.838	IOS
-4.838	Geometridae
-4.838	Economy
-4.838	National Public Radio
-4.838	Interstate Highway System
-4.838	England and Wales
-4.838	Sandstone
-4.839	Application software
-4.839	Microorganism
-4.839	Lawsuit
-4.839	Privatization
-4.839	Revenue
-4.839	General Electric
-4.839	Aesthetics
-4.839	User interface
-4.839	Azores
-4.839	Minute of arc
-4.839	Uranium
-4.839	Richmond, Virginia
-4.840	Code of Federal Regulations
-4.840	London School of Economics
-4.840	Oceanography
-4.840	UTC+06:30
-4.840	Mendelian Inheritance in Man
-4.840	Canadian House of Commons
-4.840	Missouri River
-4.840	Internet Speculative Fiction Database
-4.841	Ecoregion
-4.841	Lieutenant colonel
-4.841	Borough
-4.841	Hokkaido
-4.841	Old Style and New Style dates
-4.841	Communications protocol
-4.841	English Channel
-4.841	Dance
-4.842	Tokelau
-4.842	Republic of Venice
-4.842	Smartphone
-4.842	Mahatma Gandhi
-4.842	Ontology (computer science)
-4.842	Affricate consonant
-4.842	Rugby football
-4.842	Australians
-4.842	Potassium
-4.842	Kindergarten
-4.842	Provisional designation in astronomy
-4.842	Axis powers
-4.842	Encoded Archival Context
-4.842	UTC−11:00
-4.843	Cinema of the United States
-4.843	Hotel
-4.843	Rock (geology)
-4.843	Spanish people
-4.843	List of record labels
-4.843	Seville
-4.843	Documentation
-4.843	Mathematics Genealogy Project
-4.844	BBC One
-4.844	Run batted in
-4.844	Macedonian language
-4.844	United States Department of Education
-4.844	The Times of India
-4.845	Member state of the European Union
-4.845	National Football League draft
-4.845	Lower Saxony
-4.845	Digital Earth Reference Model
-4.845	1984 Summer Olympics
-4.845	Gospel
-4.845	Canadian Forces
-4.845	Aramaic language
-4.845	Length of a degree of latitude
-4.845	Geographic coordinate conversion
-4.845	Length of a degree of longitude
-4.845	National Guard of the United States
-4.846	Computer data storage
-4.846	Japanese name
-4.846	Yunnan
-4.846	Isotope
-4.846	Canon law
-4.846	Treaty
-4.846	Paraphyly
-4.846	State of Palestine
-4.846	Assyria
-4.846	Bergen
-4.847	Set (mathematics)
-4.847	Norfolk
-4.847	National Geographic Society
-4.847	Communist Party of China
-4.847	Bloomberg L.P.
-4.847	Syndicat National de l'Édition Phonographique
-4.847	Hydrology
-4.847	Navassa Island
-4.847	Absolute monarchy
-4.847	Legal personality
-4.848	Mutation
-4.848	Cambridge University
-4.848	Amnesty International
-4.848	GeneCards
-4.848	Wall Street
-4.848	Presidencies and provinces of British India
-4.848	Elvis Presley
-4.848	Voice (phonetics)
-4.848	Daily News (New York)
-4.848	Hebrew
-4.848	Loanword
-4.848	Store norske leksikon
-4.848	Internet service provider
